"","Tamanho","Evento de interesse","Acuracidade","Sensibilidade","Especificidade","Precisão","Pontos fora (envelope)"
"2",200,0.195666666666667,0.816333333333333,0.948642280105515,0.784108275964033,0.52843924664375,0.0180714285714286
"3",400,0.190916666666667,0.809083333333333,0.936906884371895,0.778832980755227,0.505544111704184,0.0186785714285714
"4",800,0.1855,0.803541666666667,0.914174538746964,0.778215793672166,0.488174812505017,0.0406607142857143
"5",2000,0.189283333333333,0.7994,0.915595866252971,0.77230258339693,0.486971337759147,0.0841214285714286
"6",4000,0.18805,0.793958333333333,0.917080809723029,0.765411548047082,0.47649959036897,0.118510714285714
"7",10000,0.186843333333333,0.794416666666667,0.907544212680559,0.76843130832428,0.474229790511243,0.17747
